x,y,temperature
0.0,0.0,0.0
0.3,0.0,0.0
0.6,0.0,0.0
0.8999999999999999,0.0,0.0
1.2,0.0,0.0
1.5,0.0,0.0
1.7999999999999998,0.0,0.0
2.1,0.0,0.0
2.4,0.0,0.0
2.6999999999999997,0.0,0.0
3.0,0.0,0.0
0.0,0.3,0.0
0.3,0.3,0.17303585542164127
0.6,0.3,0.32913354427412145
0.8999999999999999,0.3,0.4530131000553492
1.2,0.3,0.5325484965166817
1.5,0.3,0.559954489267416
1.7999999999999998,0.3,0.5325484965166819
2.1,0.3,0.4530131000553492
2.4,0.3,0.3291335442741215
2.6999999999999997,0.3,0.17303585542164132
3.0,0.3,0.0
0.0,0.6,0.0
0.3,0.6,0.32913354427412145
0.6,0.6,0.626048801865238
0.8999999999999999,0.6,0.8616815680224412
1.2,0.6,1.0129667850011868
1.5,0.6,1.0650960474966398
1.7999999999999998,0.6,1.0129667850011868
2.1,0.6,0.8616815680224412
2.4,0.6,0.6260488018652383
2.6999999999999997,0.6,0.3291335442741216
3.0,0.6,0.0
0.0,0.8999999999999999,0.0
0.3,0.8999999999999999,0.4530131000553492
0.6,0.8999999999999999,0.8616815680224412
0.8999999999999999,0.8999999999999999,1.1860019897130016
1.2,0.8999999999999999,1.3942280618602039
1.5,0.8999999999999999,1.4659777793153053
1.7999999999999998,0.8999999999999999,1.3942280618602039
2.1,0.8999999999999999,1.1860019897130016
2.4,0.8999999999999999,0.8616815680224412
2.6999999999999997,0.8999999999999999,0.4530131000553494
3.0,0.8999999999999999,0.0
0.0,1.2,0.0
0.3,1.2,0.5325484965166817
0.6,1.2,1.0129667850011868
0.8999999999999999,1.2,1.3942280618602039
1.2,1.2,1.6390123333172946
1.5,1.2,1.7233591306870446
1.7999999999999998,1.2,1.6390123333172948
2.1,1.2,1.3942280618602043
2.4,1.2,1.012966785001187
2.6999999999999997,1.2,0.532548496516682
3.0,1.2,0.0
0.0,1.5,0.0
0.3,1.5,0.559954489267416
0.6,1.5,1.0650960474966398
0.8999999999999999,1.5,1.4659777793153053
1.2,1.5,1.7233591306870446
1.5,1.5,1.8120465800957786
1.7999999999999998,1.5,1.7233591306870446
2.1,1.5,1.4659777793153053
2.4,1.5,1.06509604749664
2.6999999999999997,1.5,0.5599544892674162
3.0,1.5,0.0
0.0,1.7999999999999998,0.0
0.3,1.7999999999999998,0.5325484965166819
0.6,1.7999999999999998,1.0129667850011868
0.8999999999999999,1.7999999999999998,1.3942280618602039
1.2,1.7999999999999998,1.6390123333172948
1.5,1.7999999999999998,1.7233591306870446
1.7999999999999998,1.7999999999999998,1.6390123333172948
2.1,1.7999999999999998,1.3942280618602043
2.4,1.7999999999999998,1.012966785001187
2.6999999999999997,1.7999999999999998,0.532548496516682
3.0,1.7999999999999998,0.0
0.0,2.1,0.0
0.3,2.1,0.4530131000553492
0.6,2.1,0.8616815680224412
0.8999999999999999,2.1,1.1860019897130016
1.2,2.1,1.3942280618602043
1.5,2.1,1.4659777793153053
1.7999999999999998,2.1,1.3942280618602043
2.1,2.1,1.186001989713002
2.4,2.1,0.8616815680224414
2.6999999999999997,2.1,0.4530131000553494
3.0,2.1,0.0
0.0,2.4,0.0
0.3,2.4,0.3291335442741215
0.6,2.4,0.6260488018652383
0.8999999999999999,2.4,0.8616815680224412
1.2,2.4,1.012966785001187
1.5,2.4,1.06509604749664
1.7999999999999998,2.4,1.012966785001187
2.1,2.4,0.8616815680224414
2.4,2.4,0.6260488018652383
2.6999999999999997,2.4,0.3291335442741216
3.0,2.4,0.0
0.0,2.6999999999999997,0.0
0.3,2.6999999999999997,0.17303585542164132
0.6,2.6999999999999997,0.3291335442741216
0.8999999999999999,2.6999999999999997,0.4530131000553494
1.2,2.6999999999999997,0.532548496516682
1.5,2.6999999999999997,0.5599544892674162
1.7999999999999998,2.6999999999999997,0.532548496516682
2.1,2.6999999999999997,0.4530131000553494
2.4,2.6999999999999997,0.3291335442741216
2.6999999999999997,2.6999999999999997,0.1730358554216414
3.0,2.6999999999999997,0.0
0.0,3.0,0.0
0.3,3.0,0.0
0.6,3.0,0.0
0.8999999999999999,3.0,0.0
1.2,3.0,0.0
1.5,3.0,0.0
1.7999999999999998,3.0,0.0
2.1,3.0,0.0
2.4,3.0,0.0
2.6999999999999997,3.0,0.0
3.0,3.0,0.0
