dt_hr,center_temperature_F,center_error_F,maximum_absolute_field_error_F,RMSE_F,relative_L2_error,runtime_s
0.12,1.8180658182712766,0.006019238175497987,0.006019238175497987,0.0032071684892027944,0.003185842972898286,0.014918599976226687
0.06,1.8277207400861228,0.015674159990344272,0.015674159990344272,0.008708517940385714,0.008650612145304784,0.03508559998590499
0.03,1.8302037326018157,0.01815715250603711,0.01815715250603711,0.010089049451214022,0.010021964048843304,0.047425199998542666
0.015,1.8308243196976215,0.018777739601842924,0.018777739601842924,0.010434152135361101,0.010364772031934831,0.11026599997421727
