x,y,temperature
0.0,0.0,0.0
0.3,0.0,0.0
0.6,0.0,0.0
0.8999999999999999,0.0,0.0
1.2,0.0,0.0
1.5,0.0,0.0
1.7999999999999998,0.0,0.0
2.1,0.0,0.0
2.4,0.0,0.0
2.6999999999999997,0.0,0.0
3.0,0.0,0.0
0.0,0.3,0.0
0.3,0.3,0.0014971541066266802
0.6,0.3,0.00284764987349162
0.8999999999999999,0.3,0.003919272673539309
1.2,0.3,0.004607209091228359
1.5,0.3,0.004844237133825313
1.7999999999999998,0.3,0.004607209091228137
2.1,0.3,0.00391927267353942
2.4,0.3,0.00284764987349162
2.6999999999999997,0.3,0.0014971541066266525
3.0,0.3,0.0
0.0,0.6,0.0
0.3,0.6,0.00284764987349162
0.6,0.6,0.005416349429393952
0.8999999999999999,0.6,0.007454620903871612
1.2,0.6,0.008763104793874987
1.5,0.6,0.009213942060759983
1.7999999999999998,0.6,0.008763104793874987
2.1,0.6,0.007454620903871723
2.4,0.6,0.005416349429393841
2.6999999999999997,0.6,0.0028476498734915645
3.0,0.6,0.0
0.0,0.8999999999999999,0.0
0.3,0.8999999999999999,0.003919272673539309
0.6,0.8999999999999999,0.007454620903871723
0.8999999999999999,0.8999999999999999,0.010259931238038256
1.2,0.8999999999999999,0.012060821553164125
1.5,0.8999999999999999,0.012681317128997449
1.7999999999999998,0.8999999999999999,0.012060821553164347
2.1,0.8999999999999999,0.010259931238038256
2.4,0.8999999999999999,0.007454620903871723
2.6999999999999997,0.8999999999999999,0.003919272673539254
3.0,0.8999999999999999,0.0
0.0,1.2,0.0
0.3,1.2,0.004607209091228248
0.6,1.2,0.008763104793874765
0.8999999999999999,1.2,0.012060821553164347
1.2,1.2,0.014177815910031644
1.5,1.2,0.014907224923871754
1.7999999999999998,1.2,0.014177815910031644
2.1,1.2,0.012060821553163903
2.4,1.2,0.008763104793874765
2.6999999999999997,1.2,0.004607209091228137
3.0,1.2,0.0
0.0,1.5,0.0
0.3,1.5,0.004844237133825202
0.6,1.5,0.009213942060759983
0.8999999999999999,1.5,0.012681317128997227
1.2,1.5,0.014907224923871532
1.5,1.5,0.015674159990344272
1.7999999999999998,1.5,0.014907224923871976
2.1,1.5,0.012681317128997227
2.4,1.5,0.009213942060759761
2.6999999999999997,1.5,0.004844237133825202
3.0,1.5,0.0
0.0,1.7999999999999998,0.0
0.3,1.7999999999999998,0.004607209091228137
0.6,1.7999999999999998,0.008763104793874987
0.8999999999999999,1.7999999999999998,0.012060821553164569
1.2,1.7999999999999998,0.014177815910032088
1.5,1.7999999999999998,0.014907224923872198
1.7999999999999998,1.7999999999999998,0.014177815910032088
2.1,1.7999999999999998,0.012060821553164125
2.4,1.7999999999999998,0.008763104793874765
2.6999999999999997,1.7999999999999998,0.004607209091228137
3.0,1.7999999999999998,0.0
0.0,2.1,0.0
0.3,2.1,0.003919272673539476
0.6,2.1,0.007454620903871945
0.8999999999999999,2.1,0.010259931238038256
1.2,2.1,0.012060821553164347
1.5,2.1,0.012681317128997671
1.7999999999999998,2.1,0.012060821553164347
2.1,2.1,0.010259931238037812
2.4,2.1,0.007454620903871723
2.6999999999999997,2.1,0.003919272673539309
3.0,2.1,0.0
0.0,2.4,0.0
0.3,2.4,0.00284764987349162
0.6,2.4,0.005416349429393952
0.8999999999999999,2.4,0.007454620903871945
1.2,2.4,0.00876310479387521
1.5,2.4,0.009213942060759983
1.7999999999999998,2.4,0.00876310479387521
2.1,2.4,0.007454620903871723
2.4,2.4,0.005416349429394063
2.6999999999999997,2.4,0.0028476498734915645
3.0,2.4,0.0
0.0,2.6999999999999997,0.0
0.3,2.6999999999999997,0.0014971541066266802
0.6,2.6999999999999997,0.0028476498734915645
0.8999999999999999,2.6999999999999997,0.003919272673539309
1.2,2.6999999999999997,0.004607209091228137
1.5,2.6999999999999997,0.004844237133825202
1.7999999999999998,2.6999999999999997,0.004607209091228137
2.1,2.6999999999999997,0.003919272673539365
2.4,2.6999999999999997,0.0028476498734915645
2.6999999999999997,2.6999999999999997,0.0014971541066266525
3.0,2.6999999999999997,0.0
0.0,3.0,0.0
0.3,3.0,0.0
0.6,3.0,0.0
0.8999999999999999,3.0,0.0
1.2,3.0,0.0
1.5,3.0,0.0
1.7999999999999998,3.0,0.0
2.1,3.0,0.0
2.4,3.0,0.0
2.6999999999999997,3.0,0.0
3.0,3.0,0.0
