dx_dy_m,nodes,nodes_per_direction,center_temperature_F,center_error_F,maximum_absolute_field_error_F,RMSE_F,relative_L2_error,runtime_s
0.6,36,6,1.7049297592665777,0.06591742594928296,0.06591742594928296,0.04557780245812155,0.040244213942109426,0.1433132000383921
0.3,121,11,1.8310182391647987,0.018971659069020097,0.018971659069020097,0.010541994245604256,0.010471897064578836,0.391986700007692
0.15,441,21,1.8168242235173298,0.004777643421551181,0.004777643421551181,0.0025149003639709745,0.0026369656304882612,1.3087716000154614
0.075,1681,41,1.8132338862808455,0.0011873061850669053,0.0011873061850669053,0.0006089506274764411,0.0006553099743836316,4.90040849999059
