time_hr,center_temperature_F
0.0,30.0
0.06,29.80757596784398
0.12,28.83136234718653
0.18,26.66083541183771
0.24,23.695292166665915
0.3,20.601102062120827
0.36,17.71700983352575
0.42,15.146882043261073
0.48,12.910140424106823
0.54,10.98579146475752
0.6000000000000001,9.34027063705153
0.6600000000000001,7.937612165033793
0.7200000000000002,6.743970666334623
0.7800000000000002,5.729094465691329
0.8400000000000003,4.866613870492887
0.9000000000000004,4.133826118126995
0.9600000000000004,3.511310659929202
1.0200000000000005,2.982510098897189
1.0800000000000005,2.5333329245971585
1.1400000000000006,2.151797409295992
1.2000000000000006,1.8277207400861228
