x,y,tau,temperature,is_post_switch
0.25,0.9375,0,0.24609375,0
0.3125,0.9375,0,0.2734375,0
0.375,0.9375,0,0.29296875,0
0.4375,0.9375,0,0.3046875,0
0.5,0.9375,0,0.30859375,0
0.5625,0.9375,0,0.3046875,0
0.625,0.9375,0,0.29296875,0
0.6875,0.9375,0,0.2734375,0
0.75,0.9375,0,0.24609375,0
0.8125,0.9375,0,0.2109375,0
0.875,0.9375,0,0.16796875,0
0.9375,0.9375,0,0.1171875,0
1,0.9375,0,0.05859375,0
0,1,0,0,0
0.0625,1,0,0.05859375,0
0.125,1,0,0.109375,0
0.1875,1,0,0.15234375,0
0.25,1,0,0.1875,0
0.3125,1,0,0.21484375,0
0.375,1,0,0.234375,0
0.4375,1,0,0.24609375,0
0.5,1,0,0.25,0
0.5625,1,0,0.24609375,0
0.625,1,0,0.234375,0
0.6875,1,0,0.21484375,0
0.75,1,0,0.1875,0
0.8125,1,0,0.15234375,0
0.875,1,0,0.109375,0
0.9375,1,0,0.05859375,0
1,1,0,0,0
0,0,2.5,0,0
0.0625,0,2.5,0.004809667888119071,0
0.125,0,2.5,0.008978046724488931,0
0.1875,0,2.5,0.01250513650910958,0
0.25,0,2.5,0.01539093724198103,0
0.3125,0,2.5,0.01763544892310326,0
0.375,0,2.5,0.01923867155247628,0
0.4375,0,2.5,0.02020060513010009,0
0.5,0,2.5,0.0205212496559747,0
0.5625,0,2.5,0.02020060513010009,0
0.625,0,2.5,0.01923867155247628,0
0.6875,0,2.5,0.01763544892310326,0
0.75,0,2.5,0.01539093724198103,0
0.8125,0,2.5,0.01250513650910958,0
0.875,0,2.5,0.008978046724488931,0
0.9375,0,2.5,0.004809667888119071,0
1,0,2.5,0,0
0,0.0625,2.5,0.004809667888119071,0
0.0625,0.0625,2.5,0.02112777301070513,0
0.125,0.0625,2.5,0.03068043865201922,0
0.1875,0.0625,2.5,0.03664871906992741,0
0.25,0.0625,2.5,0.04050179822332722,0
0.3125,0.0625,2.5,0.04299924538841582,0
0.375,0.0625,2.5,0.04456015959457731,0
0.4375,0.0625,2.5,0.04541803361076738,0
0.5,0.0625,2.5,0.04569181308013581,0
0.5625,0.0625,2.5,0.04541803361076739,0
0.625,0.0625,2.5,0.04456015959457735,0
0.6875,0.0625,2.5,0.04299924538841577,0
0.75,0.0625,2.5,0.0405017982233272,0
0.8125,0.0625,2.5,0.03664871906992742,0
0.875,0.0625,2.5,0.03068043865201924,0
0.9375,0.0625,2.5,0.02112777301070515,0
1,0.0625,2.5,0.004809667888119071,0
0,0.125,2.5,0.008978046724488931,0
0.0625,0.125,2.5,0.03068043865201922,0
0.125,0.125,2.5,0.04361093826375755,0
0.1875,0.125,2.5,0.05132726902159866,0
0.25,0.125,2.5,0.05591403373069651,0
0.3125,0.125,2.5,0.0585999670530088,0
0.375,0.125,2.5,0.06011337531033692,0
0.4375,0.125,2.5,0.06087617616731129,0
0.5,0.125,2.5,0.06110777649725133,0
0.5625,0.125,2.5,0.06087617616731129,0
0.625,0.125,2.5,0.06011337531033689,0
0.6875,0.125,2.5,0.05859996705300871,0
0.75,0.125,2.5,0.0559140337306965,0
0.8125,0.125,2.5,0.05132726902159868,0
0.875,0.125,2.5,0.04361093826375759,0
0.9375,0.125,2.5,0.03068043865201925,0
1,0.125,2.5,0.008978046724488931,0
0,0.1875,2.5,0.01250513650910958,0
0.0625,0.1875,2.5,0.03664871906992741,0
0.125,0.1875,2.5,0.05132726902159866,0
0.1875,0.1875,2.5,0.06001244643949643,0
0.25,0.1875,2.5,0.06499182232321765,0
0.3125,0.1875,2.5,0.06773310328864961,0
0.375,0.1875,2.5,0.06915707633720865,0
0.4375,0.1875,2.5,0.06981680207468265,0
0.5,0.1875,2.5,0.07000606071942782,0
