tau,literature_theta,pinn_theta
0.000000000000000000e+00,5.000000000000000000e-01,4.710070192813873291e-01
1.000000000000000056e-01,2.429999999999999938e-01,2.379553616046905518e-01
2.000000000000000111e-01,1.869999999999999996e-01,1.659465730190277100e-01
4.000000000000000222e-01,1.479999999999999927e-01,1.298588216304779053e-01
5.999999999999999778e-01,1.209999999999999964e-01,1.119625791907310486e-01
8.000000000000000444e-01,9.940000000000000224e-02,9.467437118291854858e-02
1.000000000000000000e+00,8.140000000000000013e-02,7.575102895498275757e-02
1.199999999999999956e+00,6.660000000000000642e-02,5.619820579886436462e-02
