tau,literature_theta,pinn_theta
0.000000000000000000e+00,5.000000000000000000e-01,4.557641744613647461e-01
1.000000000000000056e-01,2.429999999999999938e-01,2.559488415718078613e-01
2.000000000000000111e-01,1.869999999999999996e-01,1.769537478685379028e-01
4.000000000000000222e-01,1.479999999999999927e-01,1.352071315050125122e-01
5.999999999999999778e-01,1.209999999999999964e-01,1.165081933140754700e-01
8.000000000000000444e-01,9.940000000000000224e-02,9.873492270708084106e-02
1.000000000000000000e+00,8.140000000000000013e-02,7.912630587816238403e-02
1.199999999999999956e+00,6.660000000000000642e-02,5.636233836412429810e-02
