name,sample_spacing_tau,batch_size_n,observation_window_batches,data_loss_weight,adaptive_iterations_per_batch,reveal_boundary_change_to_pinn,time_instances,sensor_count,switch_tau,first_event_update_tau,first_update_delay_tau,changed_samples_before_first_update,post_switch_offline_rmse,post_switch_causal_rmse,post_switch_posterior_rmse,total_adaptive_iterations,pre_event_error,post_event_peak_error,recovery_target_error,recovery_tau,recovery_delay_tau,recovery_delay_intervals
balanced,2.5,2,2,10.0,100,False,41,9,50.0,52.5,2.5,2,0.03525893783307166,0.021200995932635452,0.02008736783554976,2100,0.008237949952711241,0.08925858942408751,0.048748269688399376,55.0,5.0,2
low_latency,1.25,1,4,20.0,100,False,81,25,50.0,50.0,0.0,1,0.033234114246189245,0.015679328270755237,0.015049211943171983,8100,0.004326629948767996,0.08774756500653223,0.04603709747765011,51.25,1.25,1
