tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20
0,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.516024550931,0.496912530526,0.501040726934,0.500244134786,0.499968217912
0.0307692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.369094614039,0.383965279569,0.380908245718,0.381578568229,0.38180051159
0.0615384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.285078672196,0.301054616912,0.29812776309,0.298768751938,0.298980998999
0.0923076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.235535643523,0.250898840692,0.24809908143,0.248712163148,0.248915185048
0.123076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.204960541574,0.219660183179,0.21698137624,0.217567902828,0.217762145847
0.153846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.184896397537,0.198960708931,0.196397033755,0.196958286026,0.197144172968
0.184615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.170726476879,0.184185866508,0.181731807558,0.182268999093,0.182446930594
0.215384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.159926687771,0.172810145841,0.170460475679,0.170974756565,0.17114511232
0.246153846153846,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.151113485026,0.163448495169,0.161198258508,0.161690718856,0.161853858782
0.276923076923077,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.143525151506,0.155337766198,0.153182264867,0.153653938126,0.153810203452
0.307692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.136739179667,0.148054098936,0.145988877702,0.146440743789,0.14659045809
0.338461538461538,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.130518279004,0.141358924996,0.139379758203,0.139812746452,0.139956216618
0.369230769230769,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.124726458729,0.135115046026,0.133217924994,0.133632916932,0.133770434085
0.4,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.11928328794,0.129240889868,0.127422011007,0.127819842978,0.127951683335
0.430769230769231,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.11413895573,0.123685566874,0.121941320482,0.122322786118,0.122449211808
0.461538461538462,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.109260664085,0.118415259252,0.116742218945,0.117108071497,0.117229331327
