tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20,published_terms_1,published_terms_3,published_terms_5,published_terms_10,published_terms_20
0,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.516024550931,0.496912530526,0.501040726934,0.500244134786,0.499968217912,0.516,0.497,0.501,0.5,0.5
0.1,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.226532870683,0.24172837645,0.238959418292,0.239565737327,0.239766523609,0.249,0.263,0.261,0.261,0.261
0.2,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.165010931105,0.178178826902,0.175777598403,0.176303194682,0.17647729211,0.203,0.215,0.213,0.213,0.213
0.4,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.11928328794,0.129240889868,0.127422011007,0.127819842978,0.127951683335,0.176,0.184,0.183,0.183,0.183
0.6,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0900841129565,0.0976847935678,0.0962942126879,0.0965981513482,0.0966989216427,0.154,0.159,0.159,0.159,0.159
0.8,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0687341383142,0.074587090047,0.0735146663599,0.07374891165,0.0738266082156,0.133,0.136,0.136,0.136,0.136
1,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0529105405745,0.0574545410675,0.0566208146871,0.0568028127502,0.056863202973,0.113,0.115,0.115,0.115,0.115
1.2,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-2*tau)","theta(X,1,tau)=(X-X^2)*exp(-2*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0410644095557,0.0446184891047,0.04396558677,0.0441080345903,0.0441553179206,0.0954,0.0969,0.0967,0.0968,0.0968
