tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20
0.830769230769231,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0405298003513,0.0437526498763,0.0431683468981,0.0432966050517,0.0433390203772
0.861538461538461,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.038484891233,0.0415602355653,0.0410022285863,0.0411246692055,0.0411651698251
0.892307692307692,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0365708180899,0.0395071264251,0.0389739366909,0.039090890168,0.039129584181
0.923076923076923,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0347774065082,0.037582547683,0.0370727992219,0.0371845727649,0.0372215607273
0.953846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0330953841947,0.0357766763553,0.0352890876082,0.0353959671432,0.0354313426844
0.984615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0315162939087,0.0340805496319,0.0336139258393,0.0337161777406,0.0337500281237
1.01538461538462,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0300324153649,0.0324859826765,0.0320392089497,0.0321370816128,0.0321694882443
1.04615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0286366950983,0.0309854947892,0.0305575297984,0.0306512550726,0.0306822939668
1.07692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0273226834236,0.02957224302,0.0291621132421,0.0292519077346,0.0292816499371
1.10769230769231,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0260844777262,0.0282399624386,0.0278467569096,0.0279328231752,0.0279613351483
1.13846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0249166714182,0.0269829123565,0.0266057778814,0.0266883055073,0.0267156494824
1.16923076923077,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0238143079633,0.0257958278803,0.0254339646574,0.0255131312537,0.0255393655528
1.2,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0227728394453,0.0246738762414,0.0243265338616,0.0244025059662,0.0244276852959
