tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20,published_terms_1,published_terms_3,published_terms_5,published_terms_10,published_terms_20
0,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.516024550931,0.496912530526,0.501040726934,0.500244134786,0.499968217912,0.516,0.497,0.501,0.5,0.5
0.1,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.222186214395,0.234519859279,0.232348784523,0.232832064636,0.232990548169,0.285,0.295,0.293,0.293,0.293
0.2,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.149235731993,0.159183517135,0.157423445751,0.157814250503,0.157942600559,0.251,0.257,0.256,0.256,0.256
0.4,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0919208606435,0.0986083368284,0.0974138696606,0.0976779008439,0.0977648483342,0.229,0.23,0.23,0.23,0.23
0.6,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0613711165529,0.066047442906,0.0652056151399,0.0653910125507,0.0654522011262,0.202,0.201,0.202,0.202,0.202
0.8,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0427167192091,0.0460961981927,0.0454840084692,0.0456184398287,0.0456628861806,0.174,0.172,0.172,0.172,0.172
1,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0307629088677,0.0332710544178,0.0328144902807,0.0329145225796,0.0329476412584,0.147,0.145,0.146,0.146,0.146
1.2,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-2*tau)","theta(X,0,tau)=(X-X^2)*exp(-3*tau)","theta(X,1,tau)=(X-X^2)*exp(-4*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0227728394453,0.0246738762414,0.0243265338616,0.0244025059662,0.0244276852959,0.123,0.121,0.122,0.122,0.122
