seed,locked_rmse_k,interpolation_mean_rmse_k,validation_rmse_k,median_latency_ms,best_epoch
7,0.23800326883792877,0.24716228246688843,0.2531595528125763,0.747500016586855,480
11,0.22245125472545624,0.2513431906700134,0.2528584599494934,0.9854999952949584,420
19,0.23402465879917145,0.2592500150203705,0.26330575346946716,0.8535000088158995,300
23,0.23601418733596802,0.24436737596988678,0.24838411808013916,0.8777000184636563,440
31,0.23302529752254486,0.2452024221420288,0.251828670501709,0.8439999946858734,340
