tau,bc_left,bc_right,bc_bottom,bc_top,initial_condition,calculated_terms_1,calculated_terms_3,calculated_terms_5,calculated_terms_10,calculated_terms_20
0.553846153846154,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.117851422479,0.12854971605,0.126569857664,0.12700042265,0.127143641067
0.584615384615385,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.11427808361,0.124652211654,0.122732344316,0.123149862891,0.123288741694
0.615384615384615,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.110814094129,0.120873879081,0.119012185021,0.119417052501,0.119551723182
0.646153846153846,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.107455651411,0.117210618079,0.115405334607,0.115797934329,0.115928524397
0.676923076923077,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.104199290772,0.113658675355,0.111908093193,0.112288796878,0.112415429979
0.707692307692308,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.101041773845,0.110214532681,0.108516994342,0.108886162448,0.10900895848
0.738461538461538,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0979800264908,0.106874844534,0.105228742753,0.105586724816,0.105705800046
0.769230769230769,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.095011103729,0.103636402773,0.102040178989,0.102387313953,0.102502781123
0.8,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0921321694328,0.100496116085,0.0989482589606,0.0992848755011,0.0993968439375
0.830769230769231,"theta(0,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(1,Y,tau)=(Y-Y^2)*exp(-1*tau)","theta(X,0,tau)=(X-X^2)*exp(-1*tau)","theta(X,1,tau)=(X-X^2)*exp(-1*tau)","theta(X,Y,0)=(X-X^2)+(Y-Y^2)",0.0893404840997,0.0974509975144,0.0959500415074,0.0962764583392,0.0963850340562
