x,y,tau,temperature
0,0,0,0
0,0,0.1222976003915649,0
0,0,0.2595519038446648,0
0,0,0.4135920792534944,0
0,0,0.5864709984787198,0
0,0,0.7804925946834771,0
0,0,0.9982425665282177,0
0,0,1.242622837414901,0
0,0,1.516890229014066,0
0,0,1.824699864471462,0
0,0,2.170153879722701,0
0,0,2.557856092084797,0
0,0,2.992973354685279,0
0,0,3.481304414390745,0
0,0,4.02935719089486,0
0,0,4.644435506853363,0
0,0,5.334736424906477,0
0,0,6.10945948878558,0
0,0,6.978929324345096,0
0,0,7.954733234406392,0
0,0,9.049875621120892,0
0,0,10.27895129381766,0
0,0,11.6583399719849,0
0,0,13.20642457549929,0
0,0,14.94383621122661,0
0,0,16.89372912089576,0
0,0,19.08208925443797,0
0,0,21.53808058110497,0
0,0,24.29443375360584,0
0,0,27.38788230493525,0
0,0,30.85965219102699,0
0,0,34.75601120329945,0
0,0,39.12888557303689,0
0,0,44.03655198500699,0
0,0,49.54441422268333,0
0,0,55.72587479531476,0
0,0,62.66331316289408,0
0,0,70.4491835956928,0
0,0,79.18724729938236,0
0,0,88.99395522610187,0
0,0,100,0
0.0625,0,0,0.05859375
0.0625,0,0.1222976003915649,0.05184872971843955
0.0625,0,0.2595519038446648,0.04519905284039537
0.0625,0,0.4135920792534944,0.03874632669550382
0.0625,0,0.5864709984787198,0.03259493920221868
0.0625,0,0.7804925946834771,0.02684649952429978
0.0625,0,0.9982425665282177,0.02159335155814661
0.0625,0,1.242622837414901,0.01691169168118705
0.0625,0,1.516890229014066,0.01285506383645419
0.0625,0,1.824699864471462,0.009449181945391651
0.0625,0,2.170153879722701,0.006689065350148968
0.0625,0,2.557856092084797,0.004539296043441126
0.0625,0,2.992973354685279,0.002937781430237606
0.0625,0,3.481304414390745,0.001802768648462306
0.0625,0,4.02935719089486,0.001042134323893739
0.0625,0,4.644435506853363,0.000563376310818952
0.0625,0,5.334736424906477,0.0002824910559356301
0.0625,0,6.10945948878558,0.0001301807443267292
0.0625,0,6.978929324345096,5.45683470475488e-05
0.0625,0,7.954733234406392,2.056622321169133e-05
0.0625,0,9.049875621120892,6.879236648013921e-06
0.0625,0,10.27895129381766,2.012609262514014e-06
0.0625,0,11.6583399719849,5.066389509401331e-07
0.0625,0,13.20642457549929,1.07739256684629e-07
0.0625,0,14.94383621122661,1.8959447997411e-08
0.0625,0,16.89372912089576,2.697726746605602e-09
0.0625,0,19.08208925443797,3.024163221199713e-10
0.0625,0,21.53808058110497,2.594070330928684e-11
0.0625,0,24.29443375360584,1.647831397556133e-12
0.0625,0,27.38788230493525,7.472142362962443e-14
0.0625,0,30.85965219102699,2.320997291891377e-15
0.0625,0,34.75601120329945,4.715279221781259e-17
0.0625,0,39.12888557303689,5.948290994428758e-19
0.0625,0,44.03655198500699,4.395616192980581e-21
0.0625,0,49.54441422268333,1.782319619229185e-23
0.0625,0,55.72587479531476,3.68477836685619e-26
0.0625,0,62.66331316289408,3.577010123922335e-29
0.0625,0,70.4491835956928,1.486481825096724e-32
0.0625,0,79.18724729938236,2.383783198940162e-36
0.0625,0,88.99395522610187,1.313008737994104e-40
0.0625,0,100,2.179732017199647e-45
0.125,0,0,0.109375
0.125,0,0.1222976003915649,0.09678429547442051
0.125,0,0.2595519038446648,0.08437156530207135
0.125,0,0.4135920792534944,0.0723264764982738
0.125,0,0.5864709984787198,0.06084388651080821
0.125,0,0.7804925946834771,0.05011346577869292
0.125,0,0.9982425665282177,0.040307589575207
0.125,0,1.242622837414901,0.03156849113821584
0.125,0,1.516890229014066,0.02399611916138116
0.125,0,1.824699864471462,0.01763847296473108
0.125,0,2.170153879722701,0.01248625532027807
0.125,0,2.557856092084797,0.008473352614423436
0.125,0,2.992973354685279,0.005483858669776865
0.125,0,3.481304414390745,0.003365168143796305
0.125,0,4.02935719089486,0.001945317404601645
0.125,0,4.644435506853363,0.001051635780195377
0.125,0,5.334736424906477,0.0005273166377465095
0.125,0,6.10945948878558,0.0002430040560765612
0.125,0,6.978929324345096,0.0001018609144887578
0.125,0,7.954733234406392,3.839028332849048e-05
0.125,0,9.049875621120892,1.284124174295932e-05
0.125,0,10.27895129381766,3.756870623359493e-06
0.125,0,11.6583399719849,9.45726041754915e-07
0.125,0,13.20642457549929,2.011132791446409e-07
0.125,0,14.94383621122661,3.539096959516719e-08
0.125,0,16.89372912089576,5.035756593663791e-09
0.125,0,19.08208925443797,5.645104679572798e-10
0.125,0,21.53808058110497,4.842264617733543e-11
0.125,0,24.29443375360584,3.075951942104782e-12
0.125,0,27.38788230493525,1.394799907752989e-13
0.125,0,30.85965219102699,4.332528278197237e-15
0.125,0,34.75601120329945,8.801854547325017e-17
0.125,0,39.12888557303689,1.110347652293368e-18
0.125,0,44.03655198500699,8.205150226897085e-21
0.125,0,49.54441422268333,3.326996622561145e-23
0.125,0,55.72587479531476,6.878252951464888e-26
0.125,0,62.66331316289408,6.677085564655026e-29
0.125,0,70.4491835956928,2.774766073513886e-32
0.125,0,79.18724729938236,4.449728638021636e-36
0.125,0,88.99395522610187,2.450949644255661e-40
0.125,0,100,4.068833098772674e-45
0.1875,0,0,0.15234375
0.1875,0,0.1222976003915649,0.1348066972679428
0.1875,0,0.2595519038446648,0.117517537385028
0.1875,0,0.4135920792534944,0.1007404494083099
0.1875,0,0.5864709984787198,0.08474684192576858
0.1875,0,0.7804925946834771,0.06980089876317942
0.1875,0,0.9982425665282177,0.05614271405118117
0.1875,0,1.242622837414901,0.04397039837108634
0.1875,0,1.516890229014066,0.0334231659747809
0.1875,0,1.824699864471462,0.0245678730580183
0.1875,0,2.170153879722701,0.01739156991038732
0.1875,0,2.557856092084797,0.01180216971294693
0.1875,0,2.992973354685279,0.007638231718617776
0.1875,0,3.481304414390745,0.004687198486001997
0.1875,0,4.02935719089486,0.00270954924212372
0.1875,0,4.644435506853363,0.001464778408129275
0.1875,0,5.334736424906477,0.0007344767454326382
0.1875,0,6.10945948878558,0.0003384699352494959
0.1875,0,6.978929324345096,0.0001418777023236269
0.1875,0,7.954733234406392,5.347218035039746e-05
0.1875,0,9.049875621120892,1.78860152848362e-05
0.1875,0,10.27895129381766,5.232784082536437e-06
0.1875,0,11.6583399719849,1.317261272444346e-06
0.1875,0,13.20642457549929,2.801220673800355e-07
0.1875,0,14.94383621122661,4.929456479326859e-08
0.1875,0,16.89372912089576,7.014089541174566e-09
0.1875,0,19.08208925443797,7.862824375119255e-10
0.1875,0,21.53808058110497,6.744582860414578e-11
0.1875,0,24.29443375360584,4.284361633645946e-12
0.1875,0,27.38788230493525,1.942757014370235e-13
0.1875,0,30.85965219102699,6.03459295891758e-15
0.1875,0,34.75601120329945,1.225972597663127e-16
0.1875,0,39.12888557303689,1.546555658551477e-18
0.1875,0,44.03655198500699,1.142860210174951e-20
0.1875,0,49.54441422268333,4.63403100999588e-23
0.1875,0,55.72587479531476,9.580423753826095e-26
0.1875,0,62.66331316289408,9.300226322198072e-29
0.1875,0,70.4491835956928,3.864852745251484e-32
0.1875,0,79.18724729938236,6.197836317244422e-36
0.1875,0,88.99395522610187,3.413822718784671e-40
0.1875,0,100,5.667303244719081e-45
0.25,0,0,0.1875
0.25,0,0.1222976003915649,0.1659159350990066
0.25,0,0.2595519038446648,0.1446369690892652
0.25,0,0.4135920792534944,0.1239882454256122
0.25,0,0.5864709984787198,0.1043038054470998
0.25,0,0.7804925946834771,0.08590879847775929
0.25,0,0.9982425665282177,0.06909872498606914
0.25,0,1.242622837414901,0.05411741337979858
0.25,0,1.516890229014066,0.04113620427665342
0.25,0,1.824699864471462,0.03023738222525328
0.25,0,2.170153879722701,0.0214050091204767
0.25,0,2.557856092084797,0.0145257473390116
0.25,0,2.992973354685279,0.009400900576760341
0.25,0,3.481304414390745,0.005768859675079381
0.25,0,4.02935719089486,0.003334829836459963
0.25,0,4.644435506853363,0.001802804194620646
0.25,0,5.334736424906477,0.0009039713789940162
0.25,0,6.10945948878558,0.0004165783818455335
0.25,0,6.978929324345096,0.0001746187105521561
0.25,0,7.954733234406392,6.581191427741225e-05
0.25,0,9.049875621120892,2.201355727364455e-05
0.25,0,10.27895129381766,6.440349640044845e-06
0.25,0,11.6583399719849,1.621244643008426e-06
0.25,0,13.20642457549929,3.447656213908129e-07
0.25,0,14.94383621122661,6.067023359171519e-08
0.25,0,16.89372912089576,8.632725589137928e-09
0.25,0,19.08208925443797,9.677322307839082e-10
0.25,0,21.53808058110497,8.301025058971788e-11
0.25,0,24.29443375360584,5.273060472179626e-12
0.25,0,27.38788230493525,2.391085556147981e-13
0.25,0,30.85965219102699,7.427191334052406e-15
0.25,0,34.75601120329945,1.508889350970003e-16
0.25,0,39.12888557303689,1.903453118217203e-18
0.25,0,44.03655198500699,1.406597181753786e-20
0.25,0,49.54441422268333,5.703422781533391e-23
0.25,0,55.72587479531476,1.179129077393981e-25
0.25,0,62.66331316289408,1.144643239655147e-28
0.25,0,70.4491835956928,4.756741840309518e-32
0.25,0,79.18724729938236,7.628106236608519e-36
0.25,0,88.99395522610187,4.201627961581133e-40
0.25,0,100,6.975142455038869e-45
0.3125,0,0,0.21484375
0.3125,0,0.1222976003915649,0.1901120089676117
0.3125,0,0.2595519038446648,0.165729860414783
0.3125,0,0.4135920792534944,0.1420698645501807
0.3125,0,0.5864709984787198,0.1195147770748018
0.3125,0,0.7804925946834771,0.09843716492243253
0.3125,0,0.9982425665282177,0.07917562237987089
0.3125,0,1.242622837414901,0.06200953616435254
0.3125,0,1.516890229014066,0.0471352340669987
0.3125,0,1.824699864471462,0.03464700046643605
0.3125,0,2.170153879722701,0.02452657295054622
0.3125,0,2.557856092084797,0.01664408549261746
0.3125,0,2.992973354685279,0.01077186524420456
0.3125,0,3.481304414390745,0.006610151711028456
0.3125,0,4.02935719089486,0.003821159187610374
0.3125,0,4.644435506853363,0.002065713139669491
0.3125,0,5.334736424906477,0.001035800538430644
0.3125,0,6.10945948878558,0.0004773293958646738
0.3125,0,6.978929324345096,0.0002000839391743456
0.3125,0,7.954733234406392,7.540948510953487e-05
0.3125,0,9.049875621120892,2.522386770938438e-05
0.3125,0,10.27895129381766,7.379567295884718e-06
0.3125,0,11.6583399719849,1.857676153447154e-06
0.3125,0,13.20642457549929,3.950439411769732e-07
0.3125,0,14.94383621122661,6.951797599050698e-08
0.3125,0,16.89372912089576,9.891664737553875e-09
0.3125,0,19.08208925443797,1.108859847773228e-09
0.3125,0,21.53808058110497,9.511591213405174e-11
0.3125,0,24.29443375360584,6.042048457705822e-12
0.3125,0,27.38788230493525,2.739785533086229e-13
0.3125,0,30.85965219102699,8.510323403601715e-15
0.3125,0,34.75601120329945,1.728935714653128e-16
0.3125,0,39.12888557303689,2.181040031290545e-18
0.3125,0,44.03655198500699,1.611725937426213e-20
0.3125,0,49.54441422268333,6.535171937173677e-23
0.3125,0,55.72587479531476,1.351085401180603e-25
0.3125,0,62.66331316289408,1.311570378771523e-28
0.3125,0,70.4491835956928,5.45043335868799e-32
0.3125,0,79.18724729938236,8.740538396113927e-36
0.3125,0,88.99395522610187,4.814365372645048e-40
0.3125,0,100,7.992350729732037e-45
0.375,0,0,0.234375
0.375,0,0.1222976003915649,0.2073949188737582
0.375,0,0.2595519038446648,0.1807962113615815
0.375,0,0.4135920792534944,0.1549853067820153
0.375,0,0.5864709984787198,0.1303797568088747
0.375,0,0.7804925946834771,0.1073859980971991
0.375,0,0.9982425665282177,0.08637340623258642
0.375,0,1.242622837414901,0.06764676672474822
0.375,0,1.516890229014066,0.05142025534581677
0.375,0,1.824699864471462,0.03779672778156661
0.375,0,2.170153879722701,0.02675626140059587
0.375,0,2.557856092084797,0.0181571841737645
0.375,0,2.992973354685279,0.01175112572095043
0.375,0,3.481304414390745,0.007211074593849225
0.375,0,4.02935719089486,0.004168537295574954
0.375,0,4.644435506853363,0.002253505243275808
0.375,0,5.334736424906477,0.00112996422374252
0.375,0,6.10945948878558,0.0005207229773069169
0.375,0,6.978929324345096,0.0002182733881901952
0.375,0,7.954733234406392,8.226489284676532e-05
0.375,0,9.049875621120892,2.751694659205568e-05
0.375,0,10.27895129381766,8.050437050056057e-06
0.375,0,11.6583399719849,2.026555803760532e-06
0.375,0,13.20642457549929,4.309570267385162e-07
0.375,0,14.94383621122661,7.583779198964398e-08
0.375,0,16.89372912089576,1.079090698642241e-08
0.375,0,19.08208925443797,1.209665288479885e-09
0.375,0,21.53808058110497,1.037628132371473e-10
0.375,0,24.29443375360584,6.591325590224533e-12
0.375,0,27.38788230493525,2.988856945184977e-13
0.375,0,30.85965219102699,9.283989167565508e-15
0.375,0,34.75601120329945,1.886111688712504e-16
0.375,0,39.12888557303689,2.379316397771503e-18
0.375,0,44.03655198500699,1.758246477192232e-20
0.375,0,49.54441422268333,7.129278476916738e-23
0.375,0,55.72587479531476,1.473911346742476e-25
0.375,0,62.66331316289408,1.430804049568934e-28
0.375,0,70.4491835956928,5.945927300386898e-32
0.375,0,79.18724729938236,9.535132795760648e-36
0.375,0,88.99395522610187,5.252034951976417e-40
0.375,0,100,8.718928068798587e-45
0.4375,0,0,0.24609375
0.4375,0,0.1222976003915649,0.2177646648174461
0.4375,0,0.2595519038446648,0.1898360219296606
0.4375,0,0.4135920792534944,0.162734572121116
0.4375,0,0.5864709984787198,0.1368987446493185
0.4375,0,0.7804925946834771,0.1127552980020591
0.4375,0,0.9982425665282177,0.09069207654421574
0.4375,0,1.242622837414901,0.07102910506098563
0.4375,0,1.516890229014066,0.05399126811310761
0.4375,0,1.824699864471462,0.03968656417064494
0.4375,0,2.170153879722701,0.02809407447062567
0.4375,0,2.557856092084797,0.01906504338245273
0.4375,0,2.992973354685279,0.01233868200699795
0.4375,0,3.481304414390745,0.007571628323541687
0.4375,0,4.02935719089486,0.004376964160353701
0.4375,0,4.644435506853363,0.002366180505439598
0.4375,0,5.334736424906477,0.001186462434929646
0.4375,0,6.10945948878558,0.0005467591261722627
0.4375,0,6.978929324345096,0.000229187057599705
0.4375,0,7.954733234406392,8.637813748910358e-05
0.4375,0,9.049875621120892,2.889279392165847e-05
0.4375,0,10.27895129381766,8.452958902558859e-06
0.4375,0,11.6583399719849,2.127883593948559e-06
0.4375,0,13.20642457549929,4.52504878075442e-07
0.4375,0,14.94383621122661,7.962968158912618e-08
0.4375,0,16.89372912089576,1.133045233574353e-08
0.4375,0,19.08208925443797,1.27014855290388e-09
0.4375,0,21.53808058110497,1.089509538990047e-10
0.4375,0,24.29443375360584,6.920891869735759e-12
0.4375,0,27.38788230493525,3.138299792444226e-13
0.4375,0,30.85965219102699,9.748188625943784e-15
0.4375,0,34.75601120329945,1.980417273148129e-16
0.4375,0,39.12888557303689,2.498282217660078e-18
0.4375,0,44.03655198500699,1.846158801051844e-20
0.4375,0,49.54441422268333,7.485742400762575e-23
0.4375,0,55.72587479531476,1.5476069140796e-25
0.4375,0,62.66331316289408,1.502344252047381e-28
0.4375,0,70.4491835956928,6.243223665406243e-32
0.4375,0,79.18724729938236,1.001188943554868e-35
0.4375,0,88.99395522610187,5.514636699575237e-40
0.4375,0,100,9.154874472238516e-45
0.5,0,0,0.25
0.5,0,0.1222976003915649,0.2212212467986754
0.5,0,0.2595519038446648,0.1928492921190202
0.5,0,0.4135920792534944,0.165317660567483
0.5,0,0.5864709984787198,0.1390717405961331
0.5,0,0.7804925946834771,0.1145450646370124
0.5,0,0.9982425665282177,0.09213163331475885
0.5,0,1.242622837414901,0.07215655117306477
0.5,0,1.516890229014066,0.05484827236887122
0.5,0,1.824699864471462,0.04031650963367105
0.5,0,2.170153879722701,0.0285400121606356
0.5,0,2.557856092084797,0.01936766311868214
0.5,0,2.992973354685279,0.01253453410234712
0.5,0,3.481304414390745,0.007691812900105841
0.5,0,4.02935719089486,0.004446439781946618
0.5,0,4.644435506853363,0.002403738926160862
0.5,0,5.334736424906477,0.001205295171992022
0.5,0,6.10945948878558,0.0005554378424607113
0.5,0,6.978929324345096,0.0002328249474028749
0.5,0,7.954733234406392,8.774921903654967e-05
0.5,0,9.049875621120892,2.935140969819273e-05
0.5,0,10.27895129381766,8.587132853393127e-06
0.5,0,11.6583399719849,2.161659524011234e-06
0.5,0,13.20642457549929,4.596874951877506e-07
0.5,0,14.94383621122661,8.089364478895358e-08
0.5,0,16.89372912089576,1.151030078551724e-08
0.5,0,19.08208925443797,1.290309641045211e-09
0.5,0,21.53808058110497,1.106803341196238e-10
0.5,0,24.29443375360584,7.030747296239502e-12
0.5,0,27.38788230493525,3.188114074863976e-13
0.5,0,30.85965219102699,9.902921778736542e-15
0.5,0,34.75601120329945,2.011852467960004e-16
0.5,0,39.12888557303689,2.53793749095627e-18
0.5,0,44.03655198500699,1.875462909005048e-20
0.5,0,49.54441422268333,7.604563708711187e-23
0.5,0,55.72587479531476,1.572172103191975e-25
0.5,0,62.66331316289408,1.526190986206863e-28
0.5,0,70.4491835956928,6.342322453746025e-32
0.5,0,79.18724729938236,1.017080831547803e-35
0.5,0,88.99395522610187,5.602170615441511e-40
0.5,0,100,9.300189940051825e-45
0.5625,0,0,0.24609375
0.5625,0,0.1222976003915649,0.2177646648174461
0.5625,0,0.2595519038446648,0.1898360219296606
0.5625,0,0.4135920792534944,0.162734572121116
0.5625,0,0.5864709984787198,0.1368987446493185
0.5625,0,0.7804925946834771,0.1127552980020591
0.5625,0,0.9982425665282177,0.09069207654421574
0.5625,0,1.242622837414901,0.07102910506098563
0.5625,0,1.516890229014066,0.05399126811310761
0.5625,0,1.824699864471462,0.03968656417064494
0.5625,0,2.170153879722701,0.02809407447062567
0.5625,0,2.557856092084797,0.01906504338245273
0.5625,0,2.992973354685279,0.01233868200699795
0.5625,0,3.481304414390745,0.007571628323541687
0.5625,0,4.02935719089486,0.004376964160353701
0.5625,0,4.644435506853363,0.002366180505439598
0.5625,0,5.334736424906477,0.001186462434929646
0.5625,0,6.10945948878558,0.0005467591261722627
0.5625,0,6.978929324345096,0.000229187057599705
0.5625,0,7.954733234406392,8.637813748910358e-05
0.5625,0,9.049875621120892,2.889279392165847e-05
0.5625,0,10.27895129381766,8.452958902558859e-06
0.5625,0,11.6583399719849,2.127883593948559e-06
0.5625,0,13.20642457549929,4.52504878075442e-07
0.5625,0,14.94383621122661,7.962968158912618e-08
0.5625,0,16.89372912089576,1.133045233574353e-08
0.5625,0,19.08208925443797,1.27014855290388e-09
0.5625,0,21.53808058110497,1.089509538990047e-10
0.5625,0,24.29443375360584,6.920891869735759e-12
0.5625,0,27.38788230493525,3.138299792444226e-13
0.5625,0,30.85965219102699,9.748188625943784e-15
0.5625,0,34.75601120329945,1.980417273148129e-16
0.5625,0,39.12888557303689,2.498282217660078e-18
0.5625,0,44.03655198500699,1.846158801051844e-20
0.5625,0,49.54441422268333,7.485742400762575e-23
0.5625,0,55.72587479531476,1.5476069140796e-25
0.5625,0,62.66331316289408,1.502344252047381e-28
0.5625,0,70.4491835956928,6.243223665406243e-32
0.5625,0,79.18724729938236,1.001188943554868e-35
0.5625,0,88.99395522610187,5.514636699575237e-40
0.5625,0,100,9.154874472238516e-45
0.625,0,0,0.234375
0.625,0,0.1222976003915649,0.2073949188737582
0.625,0,0.2595519038446648,0.1807962113615815
0.625,0,0.4135920792534944,0.1549853067820153
0.625,0,0.5864709984787198,0.1303797568088747
0.625,0,0.7804925946834771,0.1073859980971991
0.625,0,0.9982425665282177,0.08637340623258642
0.625,0,1.242622837414901,0.06764676672474822
0.625,0,1.516890229014066,0.05142025534581677
0.625,0,1.824699864471462,0.03779672778156661
0.625,0,2.170153879722701,0.02675626140059587
0.625,0,2.557856092084797,0.0181571841737645
0.625,0,2.992973354685279,0.01175112572095043
0.625,0,3.481304414390745,0.007211074593849225
0.625,0,4.02935719089486,0.004168537295574954
0.625,0,4.644435506853363,0.002253505243275808
0.625,0,5.334736424906477,0.00112996422374252
0.625,0,6.10945948878558,0.0005207229773069169
0.625,0,6.978929324345096,0.0002182733881901952
0.625,0,7.954733234406392,8.226489284676532e-05
0.625,0,9.049875621120892,2.751694659205568e-05
0.625,0,10.27895129381766,8.050437050056057e-06
0.625,0,11.6583399719849,2.026555803760532e-06
0.625,0,13.20642457549929,4.309570267385162e-07
0.625,0,14.94383621122661,7.583779198964398e-08
0.625,0,16.89372912089576,1.079090698642241e-08
0.625,0,19.08208925443797,1.209665288479885e-09
0.625,0,21.53808058110497,1.037628132371473e-10
0.625,0,24.29443375360584,6.591325590224533e-12
0.625,0,27.38788230493525,2.988856945184977e-13
0.625,0,30.85965219102699,9.283989167565508e-15
0.625,0,34.75601120329945,1.886111688712504e-16
0.625,0,39.12888557303689,2.379316397771503e-18
0.625,0,44.03655198500699,1.758246477192232e-20
0.625,0,49.54441422268333,7.129278476916738e-23
0.625,0,55.72587479531476,1.473911346742476e-25
0.625,0,62.66331316289408,1.430804049568934e-28
0.625,0,70.4491835956928,5.945927300386898e-32
0.625,0,79.18724729938236,9.535132795760648e-36
0.625,0,88.99395522610187,5.252034951976417e-40
0.625,0,100,8.718928068798587e-45
0.6875,0,0,0.21484375
0.6875,0,0.1222976003915649,0.1901120089676117
0.6875,0,0.2595519038446648,0.165729860414783
0.6875,0,0.4135920792534944,0.1420698645501807
0.6875,0,0.5864709984787198,0.1195147770748018
0.6875,0,0.7804925946834771,0.09843716492243253
0.6875,0,0.9982425665282177,0.07917562237987089
0.6875,0,1.242622837414901,0.06200953616435254
0.6875,0,1.516890229014066,0.0471352340669987
0.6875,0,1.824699864471462,0.03464700046643605
0.6875,0,2.170153879722701,0.02452657295054622
0.6875,0,2.557856092084797,0.01664408549261746
